"Filename",,"Group","Person","Inherits","Status","Age","CPP Lines","HPP Lines","Total Lines","libCbc","cbcSolve","cbcGeneric","Other Projects","First Object","Other Objects","Comment"
"CbcBranchActual.cpp (broken up, no longer used)",,"Branch","Edwin",,,8,5340,1823,7163,"x",,,,"Multiple","CbcClique, CbcSos, CbcSimpleInteger, CbcIntegerBranchingObject, CbcSimpleIntegerPseudoCost, CbcIntegerPseudoCostBranchingObject, CbcCliqueBranchingObject, CbcLongCliqueBranchingObject, CbcSosBranchingObject, CbcBranchDefaultDecision, CbcFollowOn, CbcFixingBranchingObject, CbcNWay, CbcNWayBranchingObject, CbcFixVariable, CbcDummyBranchingObject, CbcGeneral, CbcGeneralDepth, CbcGeneralBranchingObject, CbcOneGeneralBranchingObject, CbcSubProblem",
,"CbcClique.cpp (CbcClique, CbcCliqueBranchingObject, CbcLongCliqueBranchingObject)","Branch","Edwin",,,,,,,,,,,,,
,"CbcSos.cpp (CbcSos, CbcSosBranchingObject)","Branch","Edwin",,,,,,,,,,,,,
,"CbcSimpleInteger.cpp (CbcSimpleInteger, CbcIntegerBranchingObject)","Branch","Edwin",,,,,,,,,,,,,
,"CbcSimpleIntegerPseudoCost.cpp (CbcSimpleIntegerPseudoCost, CbcIntegerPseudoCostBranchingObject)","Branch","Edwin",,,,,,,,,,,,,
,"CbcBranchDefaultDecision","Branch","Edwin",,,,,,,,,,,,,
,"CbcFollowOn.cpp (CbcFollowOn, CbcFixingBranchingObject)","Branch","Edwin",,,,,,,,,,,,,
,"CbcNWay.cpp (CbcNWay, CbcNWayBranchingObject)","Branch","Edwin",,,,,,,,,,,,,
,"CbcFixVariable","Branch","Edwin",,,,,,,,,,,,,
,"CbcDummyBranchingObject","Branch","Edwin",,,,,,,,,,,,,
,"CbcGeneral","Branch","Edwin",,,,,,,,,,,,,
,"CbcGeneralDepth.cpp (CbcGeneralDepth, CbcGeneralBranchingObject, CbcOneGeneralBranchingObject)","Branch","Edwin",,,,,,,,,,,,,
,"CbcSubProblem","Branch","Edwin",,,,,,,,,,,,,
"CbcBranchBase.cpp (broken up, no longer used)",,"Branch","Edwin",,,10,352,707,1059,"x",,,,"CbcObject","CbcBranchingObject, CbcBranchDecision, CbcConsequence, CbcObjectUpdateData",
,"CbcBranchDecision","Branch","Edwin",,,,,,,,,,,,,
,"CbcBranchObject","Branch","Edwin",,,,,,,,,,,,,
,"CbcConsequence","Branch","Edwin",,,,,,,,,,,,,
,"CbcObject","Branch","Edwin",,,,,,,,,,,,,
,"CbcObjectUpdateData","Branch","Edwin",,,,,,,,,,,,,
"CbcBranchCut.cpp (CbcBranchCut, CbcCutBranchingObject)",,"Branch","Edwin",,,10,1023,315,1338,"x",,,,"CbcBranchCut","CbcCutBranchingObject, CbcBranchToFixLots, CbcBranchAllDifferent",
,"CbcBranchAllDifferent","Branch","Edwin",,,,,,,,,,,,,
,"CbcBranchToFixLots","Branch","Edwin",,,,,,,,,,,,,
"CbcBranchDynamic.cpp (CbcBranchDynamic, CbcDynamicPseudoCostBranchingObject)",,"Branch","Edwin",,,8,1911,557,2468,"x",,,,"CbcSimpleIntegerDynamicPseudoCost","CbcDynamicPseudoCostBranchingObject, CbcBranchDynamicDecision",
,"CbcSimpleIntegerDynamicPseudoCost","Branch","Edwin",,,,,,,,,,,,,
"CbcLotsize.cpp (CbcLotsize, CbcLotsizeBranchingObject)",,"Branch","Edwin",,,,,,,,,,,,,
